,day,sentiment_pos,sentiment_neg,sentiment_neu,total_tweets
0,17-08-09,0,0,1,1
1,17-08-10,1,0,0,1
2,17-08-12,0,0,1,1
3,17-08-14,0,1,0,1
4,17-08-17,0,0,1,1
5,17-08-22,0,0,2,2
6,17-08-23,0,0,1,1
7,17-08-24,0,0,2,2
8,17-08-27,0,0,1,1
9,17-08-30,0,0,1,1
10,17-08-31,1,0,1,2
11,17-09-01,0,2,0,2
12,17-09-02,0,0,1,1
13,17-09-04,0,1,0,1
14,17-09-06,0,0,1,1
15,17-09-07,0,0,4,4
16,17-09-10,0,0,1,1
17,17-09-12,0,0,1,1
18,17-09-14,0,0,3,3
19,17-09-16,0,0,1,1
20,17-09-19,1,0,0,1
21,17-09-21,0,0,3,3
22,17-09-25,0,0,1,1
23,17-09-26,0,0,1,1
24,17-09-27,0,0,1,1
25,17-09-28,1,0,2,3
26,17-10-17,0,0,1,1
27,17-10-30,0,0,1,1
28,17-11-16,0,0,1,1
29,17-11-18,0,0,2,2
30,17-11-22,0,0,1,1
31,17-11-23,0,0,1,1
32,17-11-24,0,0,1,1
33,17-11-28,1,0,0,1
34,17-11-29,0,1,0,1
35,17-12-03,0,0,1,1
36,17-12-07,0,0,1,1
37,17-12-08,0,0,1,1
38,17-12-12,1,2,1,4
39,17-12-20,0,0,1,1
40,17-12-21,0,0,1,1
41,17-12-22,0,0,1,1
42,17-12-24,1,0,0,1
43,17-12-26,0,0,1,1
44,17-12-28,0,0,1,1
45,17-12-30,0,0,2,2
46,18-01-03,0,0,1,1
47,18-01-04,0,0,1,1
48,18-01-05,0,0,1,1
49,18-01-06,0,0,1,1
50,18-01-07,0,0,1,1
51,18-01-08,0,0,2,2
52,18-01-10,0,0,3,3
53,18-01-12,0,0,1,1
54,18-01-13,0,0,3,3
55,18-01-14,0,0,1,1
56,18-01-15,1,0,1,2
57,18-01-16,0,0,1,1
58,18-01-17,0,0,1,1
59,18-01-19,0,0,3,3
60,18-01-20,0,0,1,1
61,18-01-22,0,0,3,3
62,18-01-25,0,1,0,1
63,18-01-26,0,0,2,2
64,18-01-27,0,0,1,1
65,18-01-28,0,0,1,1
66,18-01-29,1,0,1,2
67,18-01-30,0,0,2,2
